datetime,Platform Name,location,priority,monitoring item
9/29/2019 12:38,platform 1,location 1,WARNING,Consumer
9/29/2019 12:33,platform 1,location 1,WARNING,Consumer
9/29/2019 12:28,platform 1,location 1,WARNING,Consumer
9/29/2019 12:23,platform 1,location 1,WARNING,Consumer
9/29/2019 12:18,platform 1,location 1,WARNING,Consumer
9/29/2019 12:13,platform 1,location 1,WARNING,Consumer
9/29/2019 12:08,platform 1,location 1,WARNING,Consumer
9/29/2019 12:03,platform 1,location 1,WARNING,Consumer
9/29/2019 11:58,platform 1,location 1,WARNING,Consumer
9/29/2019 11:38,platform 1,location 1,WARNING,Consumer
9/29/2019 11:33,platform 1,location 1,WARNING,Consumer
9/29/2019 11:23,platform 1,location 1,WARNING,Consumer
9/29/2019 11:18,platform 1,location 1,WARNING,Consumer
9/29/2019 11:13,platform 1,location 1,WARNING,Consumer
9/29/2019 11:08,platform 1,location 1,WARNING,Consumer
9/29/2019 10:58,platform 1,location 1,WARNING,Consumer
9/29/2019 10:38,platform 1,location 1,WARNING,Consumer
9/29/2019 10:33,platform 1,location 1,WARNING,Consumer
9/29/2019 10:28,platform 1,location 1,WARNING,Consumer
9/29/2019 10:18,platform 1,location 1,WARNING,Consumer
9/29/2019 10:08,platform 1,location 1,WARNING,Consumer
9/29/2019 9:58,platform 1,location 1,WARNING,Consumer
9/29/2019 9:48,platform 1,location 1,WARNING,Consumer
9/29/2019 9:38,platform 1,location 1,WARNING,Consumer
9/29/2019 9:23,platform 1,location 1,WARNING,Consumer
9/29/2019 9:08,platform 1,location 1,WARNING,Consumer
9/29/2019 9:03,platform 1,location 1,WARNING,Consumer
9/29/2019 8:48,platform 1,location 1,WARNING,Consumer
9/29/2019 8:43,platform 1,location 1,WARNING,Consumer
9/29/2019 8:33,platform 1,location 1,WARNING,Consumer
9/29/2019 8:28,platform 1,location 1,WARNING,Consumer
9/29/2019 8:03,platform 1,location 1,WARNING,Consumer
9/29/2019 7:58,platform 1,location 1,WARNING,Consumer
9/29/2019 7:53,platform 1,location 1,WARNING,Consumer
9/29/2019 7:48,platform 1,location 1,WARNING,Consumer
9/29/2019 7:43,platform 1,location 1,WARNING,Consumer
9/29/2019 7:38,platform 1,location 1,WARNING,Consumer
9/29/2019 7:33,platform 1,location 1,WARNING,Consumer
9/29/2019 7:28,platform 1,location 1,WARNING,Consumer
9/29/2019 7:23,platform 1,location 1,WARNING,Consumer
9/29/2019 7:18,platform 1,location 1,WARNING,Consumer
9/29/2019 7:13,platform 1,location 1,WARNING,Consumer
9/29/2019 7:08,platform 1,location 1,WARNING,Consumer
9/29/2019 7:03,platform 1,location 1,WARNING,Consumer
9/29/2019 6:58,platform 1,location 1,WARNING,Consumer
9/29/2019 6:53,platform 1,location 1,WARNING,Consumer
9/29/2019 6:48,platform 1,location 1,WARNING,Consumer
9/29/2019 6:43,platform 1,location 1,WARNING,Consumer
9/29/2019 6:38,platform 1,location 1,WARNING,Consumer
9/29/2019 6:33,platform 1,location 1,WARNING,Controller
9/29/2019 6:28,platform 1,location 1,WARNING,Consumer
9/29/2019 6:23,platform 1,location 1,WARNING,Consumer
9/29/2019 6:18,platform 1,location 1,WARNING,Consumer
9/29/2019 6:13,platform 1,location 1,WARNING,Consumer
9/29/2019 6:08,platform 1,location 1,WARNING,Consumer
9/29/2019 6:03,platform 1,location 1,WARNING,Consumer
9/29/2019 5:58,platform 1,location 1,WARNING,Consumer
9/29/2019 5:53,platform 1,location 1,WARNING,Consumer
9/29/2019 5:48,platform 1,location 1,WARNING,Consumer
9/29/2019 5:43,platform 1,location 1,WARNING,Consumer
9/29/2019 5:38,platform 1,location 1,WARNING,Consumer
9/29/2019 5:33,platform 1,location 1,WARNING,Consumer
